title,snippet,type,context
     Overige regelgeving      Invulinstructie APK rapport     Voertuigcategorie (#None),['\r\n          In de Europese Richtlijn 2014/45/EU staat welke gegevens minimaal op een APK-rapport moeten staan. Eén daarvan is de voertuigcategorie. De voertuigcategorie is geen controle-item tijdens de uitvoering van de APK.\r\n        '],reg,voertuigcategorie-overige-regelgeving-invulinstructie-apk-rapport.txt
     Overige regelgeving      Invulinstructie APK rapport     Voertuigcategorie (#None),[],moi,voertuigcategorie-overige-regelgeving-invulinstructie-apk-rapport.txt
     Overige regelgeving      Invulinstructie APK rapport     Algemeen (#None),"['\r\n          ', 'Na elke keuring geeft u een APK-rapport af. De keurmeester moet het rapport ondertekenen.', '\n', 'Is het voertuig goedgekeurd? Dan geldt het nieuwe APK-rapport als keuringsbewijs (zoals bedoeld in artikel 72 van de Wegenverkeerswet 1994). Is het voertuig afgekeurd? Dan staat dit op het APK-rapport. Dit is geen geldig keuringsbewijs maar een schriftelijke mededeling dat de afgifte van een keuringsbewijs is geweigerd.', '\n', 'Het APK-rapport is geldig vanaf de dag van afgifte. Een voertuig keuren en afmelden kan binnen 2 maanden voor de APK-vervaldatum. De nieuwe APK-datum blijft dan hetzelfde als de ‘oude’ APK-vervaldatum, plus 1 of 2 jaar (afhankelijk van hoe vaak het voertuig moet worden gekeurd). Een APK-rapport is niet meer geldig als er een vervangend APK-rapport wordt afgegeven of door het aanbrengen van wijzigingen op het rapport.', '\n', 'Naast goedgekeurde voertuigen moet u ook afgekeurde voertuigen afmelden. Bij een goedkeur- en afkeurmelding geeft u de eventuele reparatieadvies-, advies-, reparatie-, afkeurpunt(en) en/of opmerking(en) in het afmeldscherm aan. De reparatieadvies-, advies-, reparatie-, afkeurpunt(en) en/of opmerking(en) staan in de digitaal beschikbare keuringsaspectenlijst. De Provider/Webdirect biedt deze lijst aan in het afmeldscherm.', '\n', 'Het APK-rapport mag u pas afgeven als het voertuig niet in een steekproef valt. Is dit wel het geval dan geeft u het rapport pas af als de steekproef is uitgevoerd en er geen bezwaar is tegen afgifte van het APK-rapport.', '\n', 'In het volgende hoofdstuk staat een uitleg over sommige onderdelen die op het APK rapport staan. De uitleg van deze onderdelen zijn ook van toepassing op het vermelden van de gegevens bij het afmelden van voertuigen. Ook de eventuele reparatieadvies-, advies-, reparatie-, afkeurpunt(en) en/of opmerking(en) worden uitgelegd.', '\n', '\r\n        ']",reg,algemeen-overige-regelgeving-invulinstructie-apk-rapport.txt
     Overige regelgeving      Invulinstructie APK rapport     Algemeen (#None),[],moi,algemeen-overige-regelgeving-invulinstructie-apk-rapport.txt
     Overige regelgeving      Invulinstructie APK rapport     APK rapport (#None),"['\r\n          ', 'Het model van het APK-rapport is door ons bepaald. Dit is bekend gemaakt in de Staatscourant. Het APK-rapport drukt u af op blanco wit A4 papier. Op de achterkant mag geen tekst of afbeelding staan. De afdruk van het APK-rapport moet rechtstreeks uit het RDW-register komen (Pdf-bestand). Zie voor voorbeelden de onderstaande bijlages.', '\n', '\r\n                ', '\r\n                ', 'APK-rapport goedkeur zonder steekproef', ' (pdf, 1mb)', '\n', '\r\n                ', '\r\n                ', 'APK-rapport afkeur zonder steekproef', ' (pdf, 1mb)', '\n', '\r\n                ', '\r\n                ', 'APK-rapport goedkeur met steekproef', ' (pdf, 1mb)', '\n', '\r\n                ', '\r\n                ', 'APK-rapport afkeur met steekproef', ' (pdf, 1mb)', '\n', '\r\n                ', '\r\n                ', 'Vervangend APK-rapport goedkeur zonder steekproef', ' (pdf, 1mb)', '\n', '\r\n                ', '\r\n                ', 'Vervangend APK-rapport afkeur zonder steekproef', ' (pdf, 1mb)', '\n', '\r\n                ', '\r\n                ', 'Vervangend APK-rapport goedkeur met steekproef', ' (pdf, 1mb)', '\n', '\r\n                ', '\r\n                ', 'Vervangend APK-rapport afkeur met steekproef', ' (pdf, 1mb)', '\r\n        ']",reg,apk-rapport-overige-regelgeving-invulinstructie-apk-rapport.txt
     Overige regelgeving      Invulinstructie APK rapport     APK rapport (#None),[],moi,apk-rapport-overige-regelgeving-invulinstructie-apk-rapport.txt
     Overige regelgeving      Administratieve procedures     Afmelden met datacommunicatie-apparatuur (#None),"['\r\n          ', 'Vóór de afgifte van een APK-rapport en ná de keuring, meldt u het voertuig af.  De keuring staat dan in het keuringsregister. Dit doet u bij goedgekeurde en afgekeurde voertuigen.', '\n', '\xa0', '\n', 'Een keurmeester meldt niet meer dan vier voertuigen per zestig minuten af. Voor een keuringsinstantie zit tussen iedere melding een afmeldpauze van 1 minuut en voor een keurmeester een afmeldpauze van 5 minuten.\xa0', '\n', '\xa0', '\n', 'In de ‘Gebruikershandleiding’ van de provider vindt u informatie over hoe u een voertuig afmeldt en hoe u de APK-keuringsgegevens opvraagt.', '\n', '\xa0', '\n', 'Geeft het systeem aan dat er geen voertuigsoort (licht of zwaar) kan worden bepaald? Dan kunt u het voertuig niet afmelden. Neem dan contact op met het Technische Kenniscentrum.  Het telefoonnummer is 088 008 74 77. Het voertuig moet misschien worden gewogen bij één van onze keuringsstations.', '\n', '\xa0', '\n', 'Geeft het afmeldscherm de melding: ‘afmelden niet toegestaan, keuring door RDW’ dan kunt u het voertuig niet afmelden. De eigenaar/houder moet een afspraak bij ons maken voor een keuring.   Hiervoor kan de eigenaar contact opnemen met het Technisch Kenniscentrum. Het telefoonnummer is 088 008 74 47.', '\n', '\xa0', '\n', 'Meldt u een afgekeurd voertuig af, dan geldt dat:', '\n', '\xa0', '\n', '\n    ', 'Er geen afmeldkosten zijn voor het afmelden van een afkeuring.', '\n    ', 'De afkeurmeldingen buiten de afmeldbeperking vallen.', '\n    ', 'Bij een steekproef op een afkeurmelding de voorschriften keuring (artikel 27 REK) en de geregistreerde ‘reparatieadvies-, advies- en afkeurpunten worden beoordeeld.', '\n', '\n', 'Geeft het afmeldscherm de melding: ‘voorgeschreven apparatuur ontbreekt’, dan kunt u het voertuig niet afmelden, omdat er geen goedgekeurde deeltjesteller in het register meetmiddelen RME staat. ', '\n\xa0', '\r\n        ']",reg,administratieve-procedures-overige-regelgeving-afmelden-met-datacommunicatie-apparatuur.txt
     Overige regelgeving      Administratieve procedures     Afmelden met datacommunicatie-apparatuur (#None),[],moi,administratieve-procedures-overige-regelgeving-afmelden-met-datacommunicatie-apparatuur.txt
     Overige regelgeving      Administratieve procedures     Afmelden met datacommunicatie-apparatuur (#None),[],reg,administratieve-procedures-overige-regelgeving-afmelden-met-datacommunicatie-apparatuur.txt
     Overige regelgeving      Administratieve procedures     Afmelden met datacommunicatie-apparatuur (#None),[],moi,administratieve-procedures-overige-regelgeving-afmelden-met-datacommunicatie-apparatuur.txt
