question,answer
 Door een defect apparaat tijdens de steekproef is mijn bedrijf technisch geschorst en mag ik niet meer keuren. Wat moet ik doen? ,"  U mag geen keuringen uitvoeren waarbij u het apparaat (meetmiddelen) nodig heeft om te keuren. Is het apparaat gerepareerd, neem dan voordat u weer met het apparaat keurt, contact op met APK Centrum Nederland. Het e-mailadres is [email protected] . U laat met bijvoorbeeld een reparatie bon zien dat het apparaat weer werkt. APK Centrum Nederland beoordeelt of u weer mag keuren of dat er een Toezichthouder Bedrijven langskomt. Zet in de mail het bedrijfsnummer en/of het KI-nummer. Gebruik het e-mailadres niet voor andere technische vragen of vragen over overige schorsingen. Gebruik hiervoor ons Contactformulier of bel naar 088-0087477.    "
 Is er een papieren handboek? ,"   Naast de online APK-regelgeving is er een papieren versie. Deze kunt u zelf printen.    APK-regelgeving (pdf, 4mb)  "
 Mijn pincode is verlopen of ik ben hem vergeten. Wat kan ik doen? ,"   U herstelt uw
persoonlijke pincode door naar Inloggen voor keurmeesters te gaan. Daar logt u met uw eigen DigiD in.
In deze
omgeving herstelt u zelf een persoonlijke pincode. Ook
kunt u er allerlei persoonlijke
gegevens inzien, zoals uw bevoegdheden en cusumstanden en kunt u hier
uw adresgegevens aanpassen. Geeft u hier uw e-mailadres op, dan houden wij u ook op de hoogte van het laatste nieuws over
APK.  "
 Mag een keurmeester voertuigonderdelen demonteren of verwijderen? ,"  Een
aantal voertuigonderdelen moet u voor een APK-keuring verwijderen of
demonteren, om een goede controle uit te kunnen voeren. Welke onderdelen dat
zijn, staat in de APK-regelgeving, in de algemene bepaling, artikel 5.1b.3 .  "
 Bij welke voertuigen moet ik brandstofverbruiksgegevens uitlezen en hoe moet dit ? ,"  In   deze animatievideo geven we uitleg over het uitlezen van brandstofverbruiksgegevens. Zoals hoe u dit moet doen, wanneer en waarom.  "
 Moet bij een BE-combinatie de oplegger afgekoppeld zijn tijdens de keuring? ,"   Bij het keuren van deze BE-combinatie moet u
de voertuig-combinatie helemaal ontkoppelen. Tijdens de APK moet de
opleggertrekker rondom vrij zijn. Dit is nodig zodat u alle keuringseisen op
een normale manier kunt controleren.   "
 Wat is de werkwijze van EOBD uitlezing bij APK keuring? ,"   De RDW heeft geconstateerd dat het bij verschillende voertuigen moeilijk is om het emissie gerelateerd diagnostisch boordsysteem (EOBD) tijdens een APK uit te lezen. Hierdoor is de werkwijze voor EOBD uitlezen tijdens de APK aangepast. Ga voor meer informatie naar:   Stroomschema werkwijze EOBD uitlezing bij APK (pdf, 164kb)   "
 Moet een tachograaf gecontroleerd worden bij lichte bedrijfsvoertuigen en personenauto’s (APK 2)? ,  ​Het controleren van de tachograaf bij lichte bedrijfsvoertuigen en personenauto’s is vanaf 1 januari 2016 onderdeel van de APK 2-keuring. De controle van de tachograaf was voor de zware bedrijfsauto’s al onderdeel van de APK 1-keuring.   
 Door een defect apparaat tijdens de steekproef is mijn bedrijf technisch geschorst en mag ik niet meer keuren. Wat moet ik doen? ,"  U mag geen keuringen uitvoeren waarbij u het apparaat (meetmiddelen) nodig heeft om te keuren. Is het apparaat gerepareerd, neem dan voordat u weer met het apparaat keurt, contact op met APK Centrum Nederland. Het e-mailadres is [email protected] . U laat met bijvoorbeeld een reparatie bon zien dat het apparaat weer werkt. APK Centrum Nederland beoordeelt of u weer mag keuren of dat er een Toezichthouder Bedrijven langskomt. Zet in de mail het bedrijfsnummer en/of het KI-nummer. Gebruik het e-mailadres niet voor andere technische vragen of vragen over overige schorsingen. Gebruik hiervoor ons Contactformulier of bel naar 088-0087477.    "
 Wat is de werkwijze van EOBD uitlezing bij APK keuring? ,"   De RDW heeft geconstateerd dat het bij verschillende voertuigen moeilijk is om het emissie gerelateerd diagnostisch boordsysteem (EOBD) tijdens een APK uit te lezen. Hierdoor is de werkwijze voor EOBD uitlezen tijdens de APK aangepast. Ga voor meer informatie naar:   Stroomschema werkwijze EOBD uitlezing bij APK (pdf, 164kb)   "
